id_master,id_using,_pc01_block_name_master,_pc01_block_name_using
1-12-kalakote,1-12-kalakot/ moghla,kalakote,kalakot moghla
1-2-buniyar,1-2-uri / boniyar,buniyar,uri boniyar
10-11-kishanganj,10-11-kishanganj/ udakishanganj,kishanganj,kishanganj udakishanganj
10-13-kusheshwarasthanpurbi,10-13-kusheswar ashthan purbi,kusheshwarasthanpurbi,kusheswar ashthan purbi
10-17-ishupur,10-17-hisupur,ishupur,hisupur
10-2-narkatia,10-2-narkattia/ chhauradano,narkatia,narkattia chhauradano
10-2-paharpur,10-2-paharpur/ shahpur,paharpur,paharpur shahpur
10-33-sonbhadrabanshisuryapur,10-33-bansi surajpur/bhagwanpur,sonbhadrabanshisuryapur,bansi surajpur bhagwanpur
10-34-deo,10-34-dev,deo,dev
10-6-saraigarhbhaptiyahi,10-6-saraigarh,saraigarhbhaptiyahi,saraigarh
10-9-krityanandnagar,10-9-k. nagar,krityanandnagar,k nagar
12-12-nampongmanmao,12-12-khimiyang/nompang,nampongmanmao,khimiyang nompang
19-4-goalpokhari,19-4-goalpokher-i,goalpokhari,goalpokher-1
20-17-kumardungi,20-17-kumandung,kumardungi,kumandung
20-17-chaibasa,20-17-sadar chaibasa,chaibasa,sadar chaibasa
20-18-golmuricumjugsalai,20-18-jamshedpur (golmur),golmuricumjugsalai,jamshedpur golmur
20-2-chhatarpur,20-2-chattarpur east,chhatarpur,chattarpur east
21-1-rajbarasambar,21-1-rajbarsambar/padampur,rajbarasambar,rajbarsambar padampur
21-15-palalahada,21-15-palhara,palalahada,palhara
21-19-beguniapada,21-19-begunipada/kodala,beguniapada,begunipada kodala
21-19-ganjam,21-19-ganjam/khalikot,ganjam,ganjam khalikot
21-19-kavisurjyanagar,21-19-kabisuryanagar,kavisurjyanagar,kabisuryanagar
21-24-tentulikhunti gudvella,21-24-gudvella,tentulikhunti gudvella,gudvella
21-3-sambalpur dhankauda,21-3-dhankauda,sambalpur dhankauda,dhankauda
21-6-kendujhargarh,21-6-keonjhar,kendujhargarh,keonjhar
22-13-sihwa nagri,22-13-nagri,sihwa nagri,nagri
22-15-bastanar badekilepal,22-15-bastanar,bastanar badekilepal,bastanar
22-6-bamhnidih champa,22-6-bamhani,bamhnidih champa,bamhani
22-7-gaurellano-1,22-7-gaurela,gaurellano-1,gaurela
22-8-sahaspurlohara,22-8-s. lohara,sahaspurlohara,s lohara
23-11-malthone,23-11-melthan,malthone,melthan
23-14-naigarhi,23-14-gurh (naigarhi),naigarhi,gurh naigarhi
23-15-umaria karkeli,23-15-bandhagar (umaria),umaria karkeli,bandhagar umaria
23-15-palino-2,23-15-pail,palino-2,pail
23-16-jaithari,23-16-jaitpur(burhar),jaithari,jaitpur burhar
23-3-bhind,23-3-gohad/bhind,bhind,gohad bhind
23-38-dhimarkheda,23-38-dhimarikhida/chimar,dhimarkheda,dhimarikhida chimar
23-38-katni,23-38-murwara (katni),katni,murwara katni
23-4-ghatigaon barai,23-4-ghatigaon,ghatigaon barai,ghatigaon
23-4-morar,23-4-gird/morar,morar,gird morar
23-4-dabra,23-4-pichhore(dabra),dabra,pichhore dabra
