id_master,id_using,_pc01_block_name_master,_pc01_block_name_using
Andaman-and-Nicobar-Islands-ANDAMANS_LITTLE ANDAMAN                     ,35-01-northandaman,little andaman,northandaman
Andhra-Pradesh-ADILABAD_KADDAM,28-01-kaddam peddur,kaddam,kaddam peddur
Telangana-ADILABAD_LOHESRA,28-01-lokeswaram,lohesra,lokeswaram
Andhra-Pradesh-CHITTOOR_B.N.KANDRIGA,28-23-buchinaidukandriga,bnkandriga,buchinaidukandriga
Andhra-Pradesh-CHITTOOR_K.V.PALLE                          ,28-23-kambhamvaripalle,kvpalle,kambhamvaripalle
Andhra-Pradesh-CHITTOOR_R.C.PURAM                          ,28-23-ramachandrapuram,rcpuram,ramachandrapuram
Andhra-Pradesh-CHITTOOR_S.R.PURAM                          ,28-23-srirangarajapuram,srpuram,srirangarajapuram
Andhra-Pradesh-CHITTOOR_V.KOTA                             ,28-23-venkatagirikota,vkota,venkatagirikota
Andhra-Pradesh-CUDDAPAH_B.MATTAM,28-20-brahmamgarimattam,bmattam,brahmamgarimattam
Andhra-Pradesh-CUDDAPAH_C.K.DINNE,28-20-chinthakommadinne,ckdinne,chinthakommadinne
Andhra-Pradesh-CUDDAPAH_L.R.PALLI                          ,28-20-lakkireddipalle,lrpalli,lakkireddipalle
Andhra-Pradesh-CUDDAPAH_S.V.KASINAYAN                      ,28-20-sriavadhuthakasinayana,svkasinayan,sriavadhuthakasinayana
Andhra-Pradesh-CUDDAPAH_V.N.PALLE,28-20-veerapunayunipalle,vnpalle,veerapunayunipalle
Andhra-Pradesh-GUNTUR_ACHAMET                            ,28-17-atchampet,achamet,atchampet
Andhra-Pradesh-GUNTUR_CHERUKUPALLE                       ,28-17-cherukupalleh oarumbaka,cherukupalle,cherukupalleh oarumbaka
Andhra-Pradesh-GUNTUR_CHILAKALURIPETA,28-17-chilakaluripeth o purushothapatnam,chilakaluripeta,chilakaluripeth o purushothapatnam
Andhra-Pradesh-GUNTUR_EPURU                              ,28-17-ipur,epuru,ipur
Andhra-Pradesh-GUNTUR_SAVALYAPURAM                       ,28-17-savalyapuramh okanamarlapudi,savalyapuram,savalyapuramh okanamarlapudi
Telangana-KARIMNAGAR_THIMMAPUR,28-03-timmapur lmdcolony,thimmapur,timmapur lmdcolony
Andhra-Pradesh-KHAMMAM_V.R.PURAM,28-10-vararamachandrapuram,vrpuram,vararamachandrapuram
Andhra-Pradesh-KURNOOL_J-BANGLAW                          ,28-21-jupadubungalow,j banglaw,jupadubungalow
Andhra-Pradesh-KURNOOL_VELUGODU                           ,28-21-velgode,velugodu,velgode
Andhra-Pradesh-MAHBUBNAGAR_BIJENEPALLY,28-07-bijinapalle,bijenepally,bijinapalle
Andhra-Pradesh-MAHBUBNAGAR_C.C.KUNTA,28-07-chinnachintakunta,cckunta,chinnachintakunta
Telangana-MEDAK_MUNIPALLY,28-04-munpalle,munipally,munpalle
Andhra-Pradesh-NALGONDA_BHUVANAGIRI                        ,28-08-bhongir,bhuvanagiri,bhongir
Andhra-Pradesh-NALGONDA_P.A.PALLE                          ,28-08-peddaadiserlapalle,papalle,peddaadiserlapalle
Andhra-Pradesh-PRAKASAM_C.S.PURAM,28-18-chandrasekharapuram,cspuram,chandrasekharapuram
Andhra-Pradesh-PRAKASAM_J.PANGULURU                        ,28-18-janakavarampanguluru,jpanguluru,janakavarampanguluru
Andhra-Pradesh-PRAKASAM_P.C.PALLI,28-18-pedacherlopalle,pcpalli,pedacherlopalle
Andhra-Pradesh-SRIKAKULAM_G.SIGADAM                          ,28-11-ganguvarisigadam,gsigadam,ganguvarisigadam
Andhra-Pradesh-SRIKAKULAM_R.AMADALAVALASA,28-11-regidiamadalavalasa,ramadalavalasa,regidiamadalavalasa
Andhra-Pradesh-VISAKHAPATNAM_G.K.VEEDHI,28-13-gudemkothaveedhi,gkveedhi,gudemkothaveedhi
Andhra-Pradesh-VISAKHAPATNAM_G.MADUGULA                         ,28-13-g madugula,gmadugula,g madugula
Andhra-Pradesh-VIZIANAGARAM_G.L.PURAM,28-12-gummalakshmipuram,glpuram,gummalakshmipuram
Andhra-Pradesh-WARANGAL_BHOOPALPELLY,28-09-bhupalpalle,bhoopalpelly,bhupalpalle
Andhra-Pradesh-WARANGAL_MOGULLAPELLY                       ,28-09-mogullapalle,mogullapelly,mogullapalle
Arunachal-Pradesh-CHANGLANG_KHAGAM                             ,12-12-khagammiao,khagam,khagammiao
Arunachal-Pradesh-DIBANG VALLEY_ANINI-MIPI,12-10-aninietalin,anini mipi,aninietalin
