id_master,id_using,_pc01_block_name_master,_pc01_block_name_using
pashchim champaran-bagaha-ii (sidhaw),10-1-sidhaw,bagaha ii sidhaw,sidhaw
madhepura-uda-kishunganj,10-11-kishanganj,uda kishunganj,kishanganj
darbhanga-darbhanga-rural,10-13-darbhanga,darbhanga rural,darbhanga
darbhanga-keoti,10-13-keotiranway,keoti,keotiranway
muzaffarpur-motipur,10-14-baruraj motipur,motipur,baruraj motipur
muzaffarpur-moraul,10-14-dholi moraul,moraul,dholi moraul
saran-chapra sadar,10-17-chapra,chapra sadar,chapra
purba champaran-chakia,10-2-chakia pipra,chakia,chakia pipra
begusarai-khodawandpur,10-20-khudabandpur,khodawandpur,khudabandpur
bhagalpur-kahalgoan,10-22-colgong,kahalgoan,colgong
munger-munger sadar,10-24-munger,munger sadar,munger
patna-patnasadar,10-28-patnarural,patnasadar,patnarural
sheohar-tariyani,10-3-tarianichowk,tariyani,tarianichowk
gaya-gaya town c.d.block,10-35-gaya,gaya town c d block,gaya
purnia-purnia,10-9-purniaeast,purnia,purniaeast
haora-amta-i,19-16-amtai,amta-1,amtai
uttar dinajpur-goalpokher - i,19-4-goalpokhari,goalpokher-1,goalpokhari
murshidabad-suti-i,19-7-sut2,suti-1,sut-2
barddhaman-galsi-i,19-9-gals2,galsi-1,gals-2
barddhaman-kalna-i,19-9-kalnai,kalna-1,kalnai
barddhaman-katwa-i,19-9-katwai,katwa-1,katwai
barddhaman-memari-i,19-9-memar2,memari-1,memar-2
barddhaman-raina-i,19-9-rainai,raina-1,rainai
garhwa-meral,20-1-meral piprakalan,meral,meral piprakalan
pakaur-pakur,20-10-pakaur,pakur,pakaur
dhanbad-baghmara,20-12-baghmaracumkatras,baghmara,baghmaracumkatras
dhanbad-dhanbad,20-12-dhanbadcumkenduadihcumjagta,dhanbad,dhanbadcumkenduadihcumjagta
bokaro-petarwar,20-13-peterbar,petarwar,peterbar
ranchi-arki,20-14-erki tamar2,arki,erki tamar-2
gumla-bharno,20-16-bano,bharno,bano
kendrapara-aul,21-10-aali,aul,aali
cuttack-tangi,21-12-tangichoudwar,tangi,tangichoudwar
ganjam-aska,21-19-asika,aska,asika
ganjam-kabisuryanagar,21-19-kavisurjyanagar,kabisuryanagar,kavisurjyanagar
gajapati-gosani,21-20-parlakhemundi gosani,gosani,parlakhemundi gosani
kandhamal-k.nuagam,21-21-kajamandinuagaon,k nuagam,kajamandinuagaon
kalahandi-m.rampur,21-26-madanpurrampur,m rampur,madanpurrampur
kalahandi-th rampur,21-26-thuamulrampur,th rampur,thuamulrampur
rayagada-bissamcuttack,21-27-bishamakatak,bissamcuttack,bishamakatak
